canon_id,Link Score,union_name,union_city,union_state
69669,0.9986673,afscme afl-cio-800,los angeles,ca
61014,0.999996,afscme afl-cio-council 1707,new york,ny
,,afscme c28,olympia,wa
516093,0.0085003935,afscme coucil 5 753,duluth,mn
504801,1.0,afscme council 101,dayton,oh
61014,1.0,afscme council 1707,new york,ny
544897,4.0863858e-14,afscme council 18-,denver,co
512610,0.9999999,afscme council 25,lansing,mi
66633,0.99973416,afscme council 25 1640,detroit,mi
28506,3.5267247e-10,afscme council 25 3582.00,lansing,mi
28506,1.5017594e-10,afscme council 25-1663.00,lansing,mi
504756,0.99999994,afscme council 26,washington,dc
511506,0.9991781,afscme council 31,chicago,il
511506,0.9999999,afscme council 31,springfield,il
23065,5.34127e-07,afscme council 31 (rockford)-,springfield,il
23065,7.643036e-06,afscme council 31 1537,springfield,il
544861,0.99999994,afscme council 31 1827,springfield,il
542567,0.9992817,afscme council 31 1831,alton,il
542567,0.99840915,afscme council 31 1831,springfield,il
544252,0.9989462,afscme council 31 2338,springfield,il
23065,5.578195e-07,afscme council 31 2371,springfield,il
23065,2.6985552e-07,afscme council 31 2399-2,springfield,il
511506,0.14879647,afscme council 31 23992,springfield,il
23065,1.5602932e-07,afscme council 31 2452,chicago,il
23065,2.243854e-06,afscme council 31 2452,springfield,il
542220,1.0,afscme council 31 2481,springfield,il
23065,4.2348283e-06,afscme council 31 2515,springfield,il
545219,0.99914616,afscme council 31 2690,springfield,il
545699,0.99992174,afscme council 31 2691,springfield,il
543308,0.99925274,afscme council 31 3017,galesburg,il
543308,0.9997645,afscme council 31 3017,springfield,il
544755,0.9999941,afscme council 31 3273,springfield,il
23065,2.649977e-07,afscme council 31 3348,springfield,il
544934,0.9999901,afscme council 31 3494,springfield,il
541694,0.999983,afscme council 31 3513,springfield,il
543020,0.9999846,afscme council 31 3534,springfield,il
540453,0.99948573,afscme council 31 3784,springfield,il
544750,0.99976814,afscme council 31 4008,springfield,il
511506,0.9893978,afscme council 31 486,springfield,il
23065,6.674287e-06,afscme council 31 893,springfield,il
511506,0.15898351,afscme council 31 893b,springfield,il
545206,0.9416822,afscme council 31 919,springfield,il
511506,0.33807904,afscme council 31 9954,springfield,il
511506,0.33807904,afscme council 31 9960,springfield,il
543838,0.99905974,afscme council 31 afl-cio local 3903,springfield,il
544755,0.99967223,afscme council 31 afl-cio-3273,springfield,il
543838,0.99905974,afscme council 31 afl-cio-3903,springfield,il
511506,0.9999999,afscme council 31 local,springfield,il
23065,1.1652802e-06,afscme council 31 local 1232,springfield,il
3706,0.03157207,afscme council 31 local 1244,springfield,il
545031,0.999723,afscme council 31 local 1555,springfield,il
544861,0.99999994,afscme council 31 local 1827,springfield,il
542567,0.99840915,afscme council 31 local 1831,springfield,il
544252,0.9989462,afscme council 31 local 2338,springfield,il
545804,0.9971107,afscme council 31 local 2342,springfield,il
23065,2.243854e-06,afscme council 31 local 2452,springfield,il
542220,1.0,afscme council 31 local 2481,springfield,il
23065,4.2348283e-06,afscme council 31 local 2515,springfield,il
23065,4.329494e-07,afscme council 31 local 2608,springfield,il
545219,0.99914616,afscme council 31 local 2690,springfield,il
543308,0.99925274,afscme council 31 local 3017,galesburg,il
543308,0.9997645,afscme council 31 local 3017,springfield,il
84033,0.998838,afscme council 31 local 3071,springfield,il
543716,0.99956745,afscme council 31 local 3212,springfield,il
540911,0.9999743,afscme council 31 local 3237,springfield,il
544755,0.9999941,afscme council 31 local 3273,springfield,il
542984,0.9999863,afscme council 31 local 3464,springfield,il
